COLLEGE	1144	58.03933566433567	663.97
EDUCATION	1014	53.67258382642998	544.24
"Author, \"The Healers Trilogy\""	16	223.0	35.68
Writer, Photographer, Overthinker	10	193.0	19.3
Investigative Journalist/Entreprenuer/Author of 'The Point of ...	15		
Illustrator; Author, 'The Artist in the Office: How to Creativ...	1		
Family Therapist; Author	5		
Olympic gold medalist and bestselling author	7		
Author, The Viagra Diaries	3		
Chancellor's Professor of Public Policy, University of Califor...	5		
Co-founder and CEO, EdSurge	1		
Principal, Target Cue	1		
Physician	1		
Animal Fair	1		
Author, Multimedia Journalist, Editor, Public Speaker, Humoris...	3		
Multimedia Journalist, Student at Northwestern's Medill School...	1		
Writer, host, comedian	1		
Editorial, portrait and commercial photographer	1		
Co-Founder, President and CEO, Cableorganizer.com	1		
Founder and former editor of 'LA Weekly'; Life mastery teacher	3		
Journalism Student, Syracuse University	1		
Wardrobe Stylist and Costume Designer, Fashion Star a...	1		
Grammy winning Singer/Songwriter, Actress, Teacher and much mo...	1		
mfishbein.com	2		
Founder, EqualShot; Faculty, Columbia University	2		
Working mother and Director, The Raben Group	1		
Chicago clinical psychologist, author, teacher	4		
California-based writer	1		
Founder of Peaceful Weight Loss	5		
Founder of Moisture Jamzz, Author of Your Idea, Inc., Entrepre...	1		
Writer, producer, contributor	1		
Creative Strategist and Founder, Dream Development	1		
"Combat veteran, author of \"Unspoken Abandonment\""	2		
Dating and Relationship Expert	1		
Senior Editor of Breaking News, HuffPost	1		
Co-Founder, Keas	3		
Director of Children and Youth Protection Development, Interna...	1		
Everything worth caring about in food, drink, and travel	142		
Founder, Every Mother Counts, Director/Producer, NO WOMAN, NO ...	1		
Clinical Professor of Medicine, Stanford University	23		
Executive Director, Armenian National Committee of America Eas...	1		
Writer, professor, humorist, blogger. Troublemaker.	4		
Chief Millennial Money Strategist - Millennial Money Podcast Host	2		
"Author, \"Hooked: How to Build Habit-Forming Products\""	1		
Journalist and Commentator	1		
CEO, Julep Beauty	1		
Four-time cancer survivor, motivational speaker and blogger	5		
Author, The Dual Family Guide to Creating a Happy Family Under...	1		
Life, for them, is pain.	1		
"Dad, Playwright, Author of the YA Series \"Revengers\""	14		
Director, Centre for Urban Design and Mental Health	6		
CEO of investment adviser and wealth manager HIP Investor Inc.	1		
Founder of Nothing But The Truth Publishing	13		
Author, NextDraft: The Day's Most Fascinating News	1		
Managing editor, Altered Couture	2		
America's most revered fitness expert	1		
writer, producer, ocean lover	2		
Fashion Marketing	9		
Writer. Executive producer and director of new Martha's Vineya...	7		
Blogger (selfworthdiet.com)/Comedian/Author/Journalist/Advocate	2		
Author, Blogger, Lawyer	38		
Small girl, LARGE opinions	12		
Second-Year Law Student, Texas Wesleyan School of Law	1		
Author, lecturer, psychotherapist, and professor of social work	3		
Sports Psychologist Bay Area, Stanford University; Founder and...	3		
Co-founder & President, ExpertFlyer.com	13		
"frighteningly artificial orange-yellow \"butter,\" new and independent cinemas are now providing"	1		
Dean of Milken Institute School of Public Health at the George...	3		
Former U.S. Congressman for Orlando, Florida	1		
Creator, Moomah the Magazine	4		
Human rights activist	1		
Marriage & Family Therapist, TV Love and Intimacy expert, and ...	5		
Founder, WOW Health Group, author, public speaker, health stra...	3		
Global Executive Director, Equality Now	1		
Author, The Discomfort Zone: How Leaders Turn Difficult Conver...	1		
Writer and toddler-wrangler at Becoming SuperMommy	5		
Professor of Anthropology at West Chester University	2		
Mother and blogger, One Lemonade LIfe	1		
Senior Director of Education and Workforce Policy, U.S. Chambe...	1		
Co-creator, The Fear of Being Fabulous (TM)	2		
Co-Founder, Travelista TV	2		
Founder, Live and Challenge	2		
President and CEO of Women’s World Banking	1		
Associate Director of Nutrition Communications, The Monday Cam...	1		
Author of iRules, International Speaker, Consultant, Founder o...	12		
Ph.D Amer. Lit., At-Home Dad	6		
A heart of darkness.	1		
Feng Shui Master, Gemologist, LEED green associate, President ...	10		
Freelance writer, activist	1		
Environmental media host/producer, speaker, writer, commentato...	2		
Writer specializing in food and culture	9		
Women's rights advocate, Leadership Ambassador w/ Take The Lea...	3		
President and CEO, Rackspace	1		
Author, 'Life After Yes'	6		
writer, trial lawyer, student of human nature	1		
Travel and Wellness Writer/Certified Holistic Health Coach	2		
Executive Director, FasterCures, a center of the Milken Institute	1		
Founders, paperlesspost.com	1		
Mia Berman is a writer/performer with a humorous, satiric poin...	3		
Digital Director, Vanity Fair	1		
I'm a clinical assistant professor of psychiatry at NYU Medica...	9		
Co-founder, The Institute for Applied Meditation on the Heart	5		
Economist at Microsoft Research	1		
Student, writer, photographer, and cancer survivor	8		
Painter and writer living in New York City	1		
New York Times Best-Selling author, entrepreneur and formerly ...	1		
Writer, mother, adjunct professor, and contributor to PostBour...	1		
Traveler, Teacher, Writer, Student	5		
Widower	3		
Empowering Children and Youth to Reshape Finance	1		
Coach Jennie: life and biz coach, professional speaker, and au...	2		
Director, New Mexico Department of Transportation, Traffic Saf...	1		
Founder, Untied.net	1		
Professor of Community Health and Health Behavior	1		
Movement and Breathing Specialist	3		
Advocate	2		
Political Reporter Covering the Bernie Sanders Campaign	1		
Special education advocate, autism blogger, nonprofit presiden...	1		
Writer and life liver with boundless energy	1		
— we are berated and criticized and blamed.”	1		
TV News Producer; Mom	2		
Senior Editor, Cheapism.com	2		
Professor, University of Pennsylvania	1		
"Author, \"Living Room\" and \"The First Hurt\""	4		
Bon Appetit	75		
Co-founder SuddenBachelor.com and entertainment lawyer	1		
Founders, TantraNova Institute	4		
Co-host, SiriusXM's Broadminded	2		
Psychoanalyst, author, speaker	4		
Eat with Pleasure	3		
"Blogger, \"The Kids Made Me Fat\""	8		
Dr. Helen Davey is a psychoanalyst and psychotherapist in Los ...	7		
Co-founder and Strategic Communications Director, 350.org and ...	7		
Professor, College of Education at University of North Texas	1		
Travel writer, blogger at travelcrush.org	6		
New York-based writer	1		
Director and founder, LIVE from the NYPL	1		
World-music writer	1		
Chef, author, owner of Porchetta	1		
President and CEO, Feed the Children	1		
Author, Backstage Wall Street	1		
Awakening coach, writer, teacher and public speaker	1		
Founder, HelloFlo	1		
CEO, Techbook Online Corporation	1		
Lecturer in food and nutrition politics and policy, University...	1		
Expert on Generations, Leadership, Change Management, Producti...	1		
Hearing about random shootings, missing planes or freak illnesses brings up thoughts and feelings we'd rather not have.	1		
Professional fundraiser, childbirth educator	1		
Sociologist mom exploring life's little spillovers at www.rogu...	1		
Director, Center on Alcohol Marketing and Youth at the Johns H...	1		
President	9		
Travel, cooking and food writer	90		
"Co-author of \"The New I Do,\" journalist, mom"	26		
Co-Author, 'The Serotonin Power Diet'	32		
Founder, HaveBabyWillTravel.com	9		
Founder Working Daughter, Author Mogul, Mom & Maid	6		
Principal, Founder of Target Marketing Digital. Guiding author...	4		
Blogger, PetitVogue.com	1		
Host-Producer: PaulaGordon.com/index.htm	1		
Managing Director, Message2Media; Forbes author; Emmy-winning ...	2		
Mobile/VR Editor for New Atlas	1		
Manager of COAST, EquityBD	1		
Writer, Darcy Dates & The Darcy Report	2		
Writes and speaks about masculinity, wellness, next gen consum...	2		
Transgender actress, advocate, and writer; star, 'Lexie Cannes'	2		
